,date,isLianban,isLianbanST,isZTShiti,isZhangting,isZTT,isZhangtingOne,isEatDTBan,preZTcurDT,isEatZTBread,isLianbanBZ,isDTT,isDietingOne,isDieting,isZhaban,isEatTDBan,isFitBaopo,SysChooseNo1,ZJNo1,ZJlt30No1,ALLHSNo1,index_num_ten,TBang
0,20191009,8,7,31,35,3,4,0,2,0,8,0,0,8,15,0,0,3-宝鼎科技-002552.SZ-实体-浙江-27.0,2-金力永磁-300748.SZ-实体-江西-21.0,1-亿纬锂能-300014.SZ-实体-广东-4.0,2-天顺股份-002800.SZ-实体-新疆-13.0,3,0
0,20191010,10,8,52,56,2,4,0,0,1,8,0,1,2,14,0,1,4-宝鼎科技-002552.SZ-实体-浙江-29.0,1-信维通信-300136.SZ-实体-深圳-7.0,1-领益智造-002600.SZ-实体-广东-9.0,3-天顺股份-002800.SZ-实体-新疆-16.0,4,0
0,20191011,10,8,42,48,2,6,0,0,0,10,0,1,3,27,0,1,4-天顺股份-002800.SZ-实体-新疆-19.0,0,2-招商轮船-601872.SH-实体-上海-5.0,2-聚龙股份-300202.SZ-实体-辽宁-15.0,0,0
0,20191014,19,16,63,72,8,9,0,0,1,10,0,0,1,26,0,0,5-天顺股份-002800.SZ-实体-新疆-19.0,1-中国长城-000066.SZ-实体-深圳-9.0,1-中国长城-000066.SZ-实体-深圳-9.0,3-顺钠股份-000533.SZ-实体-广东-14.0,3,0
0,20191015,14,11,37,40,6,3,0,3,5,19,0,3,37,17,0,4,6-诚迈科技-300598.SZ-实体-江苏-0.0,0,0,4-顺钠股份-000533.SZ-实体-广东-14.0,1,诚迈科技&300598.SZ&0.1***
0,20191016,7,6,26,30,1,4,0,4,1,14,0,1,10,13,1,0,7-诚迈科技-300598.SZ-非实体-江苏-0.0,3-粤泰股份-600393.SH-实体-广东-20.0,1-瑞达期货-002961.SZ-实体-福建-9.0,3-粤泰股份-600393.SH-实体-广东-20.0,2,恒基达鑫&002492.SZ&-0.04***
0,20191017,5,3,22,26,1,4,0,3,0,7,0,1,4,16,0,1,4-华金资本-000532.SZ-实体-广东-0.0,0,0,2-中电兴发-002298.SZ-实体-安徽-16.0,0,华金资本&000532.SZ&-0.0***
0,20191018,9,8,30,31,1,1,0,0,1,5,0,0,5,12,0,0,3-博天环境-603603.SH-实体-北京-27.0,0,0,2-金字火腿-002515.SZ-实体-浙江-2.0,0,0
0,20191021,6,6,25,34,3,9,1,6,1,9,0,2,25,20,0,2,3-天夏智慧-000662.SZ-实体-广西-33.0,1-正邦科技-002157.SZ-实体-江西-8.0,1-正邦科技-002157.SZ-实体-江西-8.0,2-振静股份-603477.SH-实体-四川-21.0,2,0
0,20191022,7,5,39,43,1,4,0,0,1,6,0,1,3,13,0,0,3-鲁商发展-600223.SH-非实体-山东-5.0,1-壹网壹创-300792.SZ-实体-浙江-4.0,1-壹网壹创-300792.SZ-实体-浙江-4.0,3-洛阳玻璃-600876.SH-实体-河南-11.0,2,0
0,20191023,8,5,27,34,2,7,0,0,1,7,0,1,2,21,0,2,4-鲁商发展-600223.SH-非实体-山东-5.0,0,0,4-振静股份-603477.SH-实体-四川-32.0,0,0
0,20191024,11,6,22,29,0,7,0,2,0,8,0,1,11,10,0,1,5-鲁商发展-600223.SH-非实体-山东-5.0,1-益生股份-002458.SZ-实体-山东-9.0,1-益生股份-002458.SZ-实体-山东-9.0,2-景峰医药-000908.SZ-实体-湖南-5.0,2,0
0,20191025,10,4,26,34,0,8,0,0,0,11,0,1,4,9,0,0,6-鲁商发展-600223.SH-非实体-山东-5.0,2-益生股份-002458.SZ-实体-山东-16.0,1-牧原股份-002714.SZ-实体-河南-8.0,2-蓝丰生化-002513.SZ-实体-江苏-18.0,3,0
0,20191028,13,9,88,150,38,62,0,0,0,10,0,2,9,31,0,7,5-古鳌科技-300551.SZ-实体-上海-9.0,1-新大陆-000997.SZ-实体-福建-0.0,1-新大陆-000997.SZ-实体-福建-0.0,2-漫步者-002351.SZ-实体-深圳-15.0,5,古鳌科技&300551.SZ&0.1***
0,20191029,33,16,26,44,7,18,0,1,9,13,0,4,14,45,0,10,4-文化长城-300089.SZ-非实体-广东-16.0,2-智度股份-000676.SZ-实体-河南-7.0,1-益生股份-002458.SZ-实体-山东-11.0,2-万方发展-000638.SZ-实体-吉林-13.0,2,先进数通&300541.SZ&-0.03***
0,20191030,14,8,22,29,2,7,1,10,0,33,0,1,33,17,0,1,5-文化长城-300089.SZ-实体-广东-29.0,1-天康生物-002100.SZ-实体-新疆-9.0,3-易见股份-600093.SH-实体-四川-0.0,3-乐心医疗-300562.SZ-实体-广东-5.0,2,易见股份&600093.SH&-0.03***浙大网新&600797.SH&-0.03***
0,20191031,7,3,15,19,0,4,0,2,4,14,0,5,37,16,0,1,6-文化长城-300089.SZ-实体-广东-40.0,1-药明康德-603259.SH-实体-江苏-5.0,1-药明康德-603259.SH-实体-江苏-5.0,2-丰华股份-600615.SH-实体-上海-16.0,1,0
0,20191101,8,7,32,33,1,1,0,0,0,7,0,2,7,15,0,1,5-新湖中宝-600208.SH-实体-浙江-8.0,2-联络互动-002280.SZ-实体-浙江-16.0,0,3-丰华股份-600615.SH-实体-上海-21.0,3,0
0,20191104,7,6,25,28,3,3,0,1,4,8,0,0,3,28,0,0,3-环球印务-002799.SZ-实体-陕西-12.0,1-天康生物-002100.SZ-实体-新疆-10.0,1-天康生物-002100.SZ-实体-新疆-10.0,2-诚迈科技-300598.SZ-实体-江苏-15.0,1,0
0,20191105,8,6,20,23,0,3,0,0,1,7,0,1,7,6,0,0,3-当代东方-000673.SZ-实体-山西-27.0,1-亿纬锂能-300014.SZ-实体-广东-9.0,1-亿纬锂能-300014.SZ-实体-广东-9.0,2-鹏辉能源-300438.SZ-实体-广东-12.0,3,0
0,20191106,7,5,21,23,1,2,0,0,0,8,0,2,6,11,0,0,4-当代东方-000673.SZ-实体-山西-32.0,2-佳禾智能-300793.SZ-实体-广东-9.0,2-佳禾智能-300793.SZ-实体-广东-9.0,2-钱江摩托-000913.SZ-实体-浙江-20.0,2,0
0,20191107,6,4,31,36,0,5,0,0,0,7,0,1,2,12,0,0,5-当代东方-000673.SZ-实体-山西-39.0,3-四方精创-300468.SZ-实体-深圳-18.0,1-正邦科技-002157.SZ-实体-江西-7.0,3-四方精创-300468.SZ-实体-深圳-18.0,2,0
0,20191108,8,6,28,31,1,3,0,2,0,6,0,0,5,16,0,1,2-四川双马-000935.SZ-实体-四川-11.0,0,2-四川双马-000935.SZ-实体-四川-11.0,2-新通联-603022.SH-实体-上海-18.0,0,0
0,20191111,5,3,15,22,1,7,0,2,1,8,0,1,12,15,0,2,3-先进数通-300541.SZ-实体-北京-13.0,2-九鼎新材-002201.SZ-实体-江苏-21.0,2-九鼎新材-002201.SZ-实体-江苏-21.0,2-九鼎新材-002201.SZ-实体-江苏-21.0,1,0
0,20191112,8,4,26,32,0,6,0,0,0,5,0,2,4,17,0,0,3-得利斯-002330.SZ-实体-山东-7.0,0,0,2-南风股份-300004.SZ-实体-广东-20.0,0,0
0,20191113,9,5,26,31,1,5,0,2,1,8,0,1,10,7,0,1,4-得利斯-002330.SZ-实体-山东-12.0,3-宝鼎科技-002552.SZ-实体-浙江-28.0,1-北方华创-002371.SZ-实体-北京-5.0,3-宝鼎科技-002552.SZ-实体-浙江-28.0,4,0
0,20191114,10,6,36,41,1,5,0,0,2,9,0,2,3,10,0,0,4-宝鼎科技-002552.SZ-实体-浙江-40.0,1-八方股份-603489.SH-实体-江苏-6.0,1-八方股份-603489.SH-实体-江苏-6.0,3-神马电力-603530.SH-实体-江苏-22.0,2,0
0,20191115,8,5,24,29,1,5,0,1,2,10,0,1,22,14,0,0,5-宝鼎科技-002552.SZ-实体-浙江-48.0,1-九鼎新材-002201.SZ-实体-江苏-11.0,1-九鼎新材-002201.SZ-实体-江苏-11.0,2-香山股份-002870.SZ-实体-广东-10.0,2,0
0,20191118,9,4,31,39,1,8,0,1,0,8,0,1,4,11,0,0,3-鼎龙文化-002502.SZ-实体-广东-22.0,1-八方股份-603489.SH-实体-江苏-5.0,1-八方股份-603489.SH-实体-江苏-5.0,3-香山股份-002870.SZ-实体-广东-11.0,3,0
0,20191119,12,6,50,59,0,9,0,0,0,9,0,0,0,14,0,2,4-鼎龙文化-002502.SZ-实体-广东-35.0,1-华友钴业-603799.SH-实体-浙江-11.0,1-华友钴业-603799.SH-实体-浙江-11.0,3-盛天网络-300494.SZ-实体-湖北-23.0,5,0
0,20191120,14,7,28,37,1,9,0,1,0,12,0,1,3,16,0,1,5-鼎龙文化-002502.SZ-实体-广东-36.0,1-四维图新-002405.SZ-实体-北京-4.0,1-万达信息-300168.SZ-实体-上海-8.0,2-长城动漫-000835.SZ-实体-四川-17.0,3,0
0,20191121,10,6,24,29,2,5,0,0,1,14,0,1,2,16,0,2,5-麦克奥迪-300341.SZ-非实体-福建-0.0,1-春兴精工-002547.SZ-实体-江苏-8.0,1-春兴精工-002547.SZ-实体-江苏-8.0,3-长城动漫-000835.SZ-实体-四川-26.0,1,0
0,20191122,12,7,18,26,1,8,0,1,1,10,0,2,13,19,0,0,6-麦克奥迪-300341.SZ-非实体-福建-0.0,0,0,4-长城动漫-000835.SZ-实体-四川-32.0,0,0
0,20191125,14,10,32,38,3,6,1,0,1,12,0,5,29,13,0,1,7-麦克奥迪-300341.SZ-非实体-福建-0.0,1-华新水泥-600801.SH-实体-湖北-8.0,0,5-长城动漫-000835.SZ-实体-四川-41.0,2,中迪投资&000609.SZ&-0.0***
0,20191126,10,6,20,27,0,7,0,1,0,14,0,2,11,9,0,0,4-中迪投资-000609.SZ-实体-北京-10.0,1-北信源-300352.SZ-实体-北京-10.0,1-北信源-300352.SZ-实体-北京-10.0,4-贵人鸟-603555.SH-实体-福建-18.0,1,0
0,20191127,9,4,18,23,3,5,0,1,0,10,0,0,7,13,0,0,3-四川金顶-600678.SH-实体-四川-18.0,1-闻泰科技-600745.SH-实体-湖北-12.0,1-闻泰科技-600745.SH-实体-湖北-12.0,2-天成自控-603085.SH-实体-浙江-15.0,3,0
0,20191128,8,3,20,25,1,5,0,2,1,9,0,1,8,11,1,0,2-海联讯-300277.SZ-实体-深圳-14.0,1-佳禾智能-300793.SZ-实体-广东-8.0,1-佳禾智能-300793.SZ-实体-广东-8.0,2-新农开发-600359.SH-实体-新疆-15.0,1,0
0,20191129,8,4,21,28,2,7,0,0,0,8,0,0,5,9,0,0,3-青海华鼎-600243.SH-实体-青海-14.0,0,0,2-美达股份-000782.SZ-实体-广东-19.0,0,0
0,20191202,9,5,22,29,1,7,0,0,1,8,0,0,3,15,0,1,4-青海华鼎-600243.SH-实体-青海-18.0,1-共达电声-002655.SZ-实体-山东-4.0,1-共达电声-002655.SZ-实体-山东-4.0,3-龙星化工-002442.SZ-实体-河北-24.0,2,0
0,20191203,8,4,28,36,0,8,0,1,0,9,0,1,3,12,0,0,3-华森制药-002907.SZ-实体-重庆-7.0,0,0,3-万通智控-300643.SZ-实体-浙江-28.0,0,0
0,20191204,13,8,20,27,0,7,0,0,0,8,0,0,2,16,0,1,4-万通智控-300643.SZ-实体-浙江-31.0,1-漫步者-002351.SZ-实体-深圳-10.0,1-漫步者-002351.SZ-实体-深圳-10.0,2-珈伟新能-300317.SZ-实体-深圳-16.0,1,0
0,20191205,11,5,30,38,0,8,0,0,0,13,0,1,1,15,0,0,5-万通智控-300643.SZ-实体-浙江-32.0,1-麦克奥迪-300341.SZ-实体-福建-8.0,1-麦克奥迪-300341.SZ-实体-福建-8.0,3-泉峰汽车-603982.SH-实体-江苏-20.0,3,0
0,20191206,15,9,37,45,3,8,0,0,0,11,0,2,3,13,0,0,6-万通智控-300643.SZ-实体-浙江-37.0,3-漫步者-002351.SZ-实体-深圳-19.0,1-水晶光电-002273.SZ-实体-浙江-8.0,3-漫步者-002351.SZ-实体-深圳-19.0,4,0
0,20191209,14,9,24,30,1,6,0,0,0,15,0,1,4,18,0,3,4-漫步者-002351.SZ-实体-深圳-23.0,1-四方精创-300468.SZ-实体-深圳-12.0,4-漫步者-002351.SZ-实体-深圳-23.0,3-当代东方-000673.SZ-实体-山西-24.0,2,0
0,20191210,14,8,35,42,0,7,0,0,0,14,0,2,2,12,0,1,5-漫步者-002351.SZ-实体-深圳-29.0,1-三安光电-600703.SH-实体-湖北-10.0,5-漫步者-002351.SZ-实体-深圳-29.0,4-劲拓股份-300400.SZ-实体-深圳-9.0,6,0
0,20191211,11,5,26,35,4,9,0,1,1,14,0,4,5,19,0,1,6-南宁百货-600712.SH-非实体-广西-11.0,1-东方通-300379.SZ-实体-北京-11.0,1-东方通-300379.SZ-实体-北京-11.0,3-钢研纳克-300797.SZ-实体-北京-27.0,2,0
0,20191212,9,6,27,33,1,6,0,3,2,11,0,3,6,21,2,0,7-南宁百货-600712.SH-非实体-广西-11.0,1-聚飞光电-300303.SZ-实体-深圳-12.0,1-聚飞光电-300303.SZ-实体-深圳-12.0,3-晶方科技-603005.SH-实体-江苏-19.0,2,0
0,20191213,7,4,34,39,1,5,0,0,0,9,0,1,2,19,0,3,8-南宁百货-600712.SH-实体-广西-13.0,1-同花顺-300033.SZ-实体-浙江-6.0,1-同花顺-300033.SZ-实体-浙江-6.0,2-田中精机-300461.SZ-实体-浙江-12.0,5,0
0,20191216,12,10,56,62,1,6,0,0,0,7,0,0,0,16,0,0,9-南宁百货-600712.SH-实体-广西-23.0,2-中信建投-601066.SH-实体-北京-13.0,1-长信科技-300088.SZ-实体-安徽-6.0,2-星期六-002291.SZ-实体-广东-17.0,8,0
0,20191217,19,15,46,52,2,6,0,0,1,12,0,0,0,30,0,1,4-东睦股份-600114.SH-实体-浙江-7.0,3-南京证券-601990.SH-实体-江苏-25.0,1-漫步者-002351.SZ-实体-深圳-5.0,3-星期六-002291.SZ-实体-广东-23.0,8,0
0,20191218,17,12,47,54,2,7,0,0,1,19,0,0,0,22,0,0,5-东睦股份-600114.SH-实体-浙江-12.0,4-南京证券-601990.SH-实体-江苏-30.0,1-浙商证券-601878.SH-实体-浙江-12.0,4-星期六-002291.SZ-实体-广东-35.0,8,0
0,20191219,15,10,47,54,0,7,0,1,0,17,0,1,5,21,0,1,5-星期六-002291.SZ-实体-广东-40.0,5-绿庭投资-600695.SH-实体-上海-20.0,2-共达电声-002655.SZ-实体-山东-13.0,5-绿庭投资-600695.SH-实体-上海-20.0,4,0
0,20191220,15,10,38,47,1,9,0,0,0,15,0,0,2,19,0,1,6-星期六-002291.SZ-实体-广东-45.0,1-全志科技-300458.SZ-实体-广东-10.0,1-全志科技-300458.SZ-实体-广东-10.0,3-万讯自控-300112.SZ-实体-深圳-21.0,2,0
0,20191223,8,5,17,25,1,8,0,5,3,15,0,6,31,20,0,3,4-万讯自控-300112.SZ-实体-深圳-21.0,1-拓维信息-002261.SZ-实体-湖南-9.0,0,3-宁波富邦-600768.SH-实体-浙江-27.0,3,0
0,20191224,9,5,46,53,2,7,0,1,1,8,0,2,4,20,0,1,3-威唐工业-300707.SZ-实体-江苏-19.0,2-拓维信息-002261.SZ-实体-湖南-17.0,1-华友钴业-603799.SH-实体-浙江-9.0,2-拓维信息-002261.SZ-实体-湖南-17.0,5,0
0,20191225,11,8,38,44,3,6,0,0,1,9,0,0,0,25,0,0,4-威唐工业-300707.SZ-非实体-江苏-19.0,2-当升科技-300073.SZ-实体-北京-12.0,1-中环股份-002129.SZ-实体-天津-9.0,3-贵人鸟-603555.SH-实体-福建-34.0,5,0
0,20191226,14,10,45,52,1,7,0,0,0,11,0,0,0,21,0,1,5-威唐工业-300707.SZ-实体-江苏-27.0,3-南大光电-300346.SZ-实体-江苏-12.0,3-南大光电-300346.SZ-实体-江苏-12.0,3-南大光电-300346.SZ-实体-江苏-12.0,2,0
0,20191227,18,13,36,43,3,7,0,1,1,14,0,0,2,30,0,1,6-威唐工业-300707.SZ-实体-江苏-30.0,1-拓维信息-002261.SZ-实体-湖南-10.0,0,4-容大感光-300576.SZ-实体-深圳-33.0,2,0
0,20191230,12,11,41,46,5,5,0,2,2,18,0,1,13,19,0,1,6-欣龙控股-000955.SZ-实体-海南-5.0,1-中信证券-600030.SH-实体-深圳-10.0,6-欣龙控股-000955.SZ-实体-海南-5.0,3-天创时尚-603608.SH-实体-广东-21.0,3,智慧松德&300173.SZ&0.0***
0,20191231,17,14,42,49,1,7,0,0,1,12,0,1,3,19,0,0,7-欣龙控股-000955.SZ-实体-海南-15.0,2-国投资本-600061.SH-实体-上海-16.0,2-国投资本-600061.SH-实体-上海-16.0,2-日播时尚-603196.SH-实体-上海-20.0,4,0
0,20200102,24,19,74,86,5,12,0,0,2,17,0,0,1,27,0,1,8-欣龙控股-000955.SZ-实体-海南-20.0,2-航锦科技-000818.SZ-实体-辽宁-19.0,2-隆平高科-000998.SZ-实体-湖南-3.0,3-南卫股份-603880.SH-实体-江苏-29.0,7,0
0,20200103,24,19,56,63,8,7,0,3,1,24,0,0,4,25,0,3,4-大北农-002385.SZ-非实体-北京-10.0,1-深科技-000021.SZ-实体-深圳-9.0,1-深科技-000021.SZ-实体-深圳-9.0,4-日出东方-603366.SH-实体-江苏-10.0,1,0
0,20200106,20,16,66,78,5,12,1,0,0,24,0,1,3,41,0,3,5-大北农-002385.SZ-非实体-北京-10.0,2-丰乐种业-000713.SZ-实体-安徽-16.0,1-恒邦股份-002237.SZ-实体-山东-5.0,3-佳创视讯-300264.SZ-实体-深圳-18.0,5,0
0,20200107,24,19,71,82,5,11,0,0,1,20,0,1,1,35,0,1,6-大北农-002385.SZ-非实体-北京-10.0,3-登海种业-002041.SZ-实体-山东-19.0,1-益生股份-002458.SZ-实体-山东-10.0,4-佳创视讯-300264.SZ-实体-深圳-31.0,5,世运电路&603920.SH&0.02***
0,20200108,19,14,47,55,6,8,0,0,2,24,0,1,3,29,0,2,7-大北农-002385.SZ-非实体-北京-10.0,2-东方日升-300118.SZ-实体-浙江-3.0,2-东方日升-300118.SZ-实体-浙江-3.0,3-奥特佳-002239.SZ-实体-江苏-15.0,4,荃银高科&300087.SZ&0.08***常铝股份&002160.SZ&0.1***
0,20200109,9,6,57,64,2,7,1,0,2,19,0,0,0,29,0,1,5-荃银高科-300087.SZ-实体-安徽-10.0,1-东方通-300379.SZ-实体-北京-9.0,1-东方通-300379.SZ-实体-北京-9.0,3-博通股份-600455.SH-实体-陕西-24.0,5,常铝股份&002160.SZ&0.02***
0,20200110,11,9,34,40,4,6,0,2,2,9,0,0,5,18,0,3,4-康跃科技-300391.SZ-实体-山东-0.0,2-诚迈科技-300598.SZ-实体-江苏-15.0,1-汇顶科技-603160.SH-实体-深圳-10.0,2-爱迪尔-002740.SZ-实体-福建-21.0,4,康跃科技&300391.SZ&0.03***
0,20200113,9,6,61,66,1,5,0,0,0,11,0,0,4,14,0,0,3-友阿股份-002277.SZ-实体-湖南-15.0,2-汇顶科技-603160.SH-实体-深圳-17.0,1-闻泰科技-600745.SH-实体-湖北-10.0,2-大东方-600327.SH-实体-江苏-19.0,15,0
0,20200114,14,10,44,54,1,10,0,1,2,9,0,0,5,36,0,2,3-安妮股份-002235.SZ-实体-福建-18.0,2-延安必康-002411.SZ-实体-陕西-18.0,1-格林美-002340.SZ-实体-深圳-9.0,3-大东方-600327.SH-实体-江苏-20.0,5,0
0,20200115,9,5,33,40,1,7,0,1,1,14,0,1,8,13,0,0,3-英维克-002837.SZ-实体-深圳-14.0,1-华天科技-002185.SZ-实体-甘肃-9.0,1-华天科技-002185.SZ-实体-甘肃-9.0,2-中视传媒-600088.SH-实体-上海-7.0,7,0
0,20200116,10,5,31,39,0,8,0,0,0,9,0,0,2,15,0,0,4-英维克-002837.SZ-实体-深圳-21.0,2-星期六-002291.SZ-实体-广东-18.0,1-漫步者-002351.SZ-实体-深圳-12.0,2-星期六-002291.SZ-实体-广东-18.0,3,0
0,20200117,13,7,29,37,1,8,0,1,2,10,0,1,11,20,0,3,5-英维克-002837.SZ-实体-深圳-27.0,3-模塑科技-000700.SZ-实体-江苏-25.0,3-模塑科技-000700.SZ-实体-江苏-25.0,3-模塑科技-000700.SZ-实体-江苏-25.0,5,0
